id,active,created_on,modified_on,name,slug,created_by_id
1,1,2018-09-06 21:56:38.768396,2018-09-06 21:56:38.768478,University of Chicago,university-of-chicago,1
2,1,2018-09-06 22:04:01.570915,2018-09-06 22:04:01.571011,Cigna,cigna,1
3,1,2018-09-06 22:04:10.296934,2018-09-06 22:04:10.296987,Metis,metis,1
4,1,2018-09-06 22:04:18.574398,2019-04-11 19:13:03.285361,AMITA Health,amita-health,1
5,1,2018-09-06 22:04:30.892436,2018-09-06 22:04:30.892475,IL Dept of Education,il-dept-of-education,1
6,1,2018-09-06 22:04:35.353809,2018-09-06 22:04:35.353884,CDPH,cdph,1
7,1,2018-09-06 22:05:01.711420,2018-09-06 22:05:01.711479,Smart Policy Works,smart-policy-works,1
8,1,2018-09-06 22:14:23.716617,2018-09-06 22:14:23.716659,CPS,cps,1
9,1,2018-09-06 22:19:05.605917,2018-09-06 22:19:05.605995,Harvard,harvard,1
10,1,2018-09-06 22:39:36.208467,2018-09-06 22:39:46.446099,American University Law,american-university-law,1
11,1,2018-09-06 22:40:48.703601,2018-09-06 22:40:48.703639,Loyola Law,loyola-law,1
12,1,2018-09-08 04:56:00.685189,2018-09-08 04:56:00.685228,PBS,pbs,1
13,1,2018-09-08 04:57:30.421874,2018-09-08 04:57:30.421976,Thrive,thrive,1
14,1,2018-09-11 21:37:45.948588,2018-09-11 21:37:45.948645,IFF,iff,1
15,1,2018-09-11 21:48:19.431822,2018-09-11 21:48:19.431901,UVa,uva,1
16,1,2018-09-11 21:51:18.460708,2018-09-11 21:51:18.460764,Rush,rush,1
17,1,2018-09-19 01:00:39.193162,2018-09-19 01:00:39.193207,Civis Analytics,civis-analytics,1
18,1,2018-09-19 01:11:51.682315,2018-09-19 01:11:51.682375,MIT,mit,1
19,1,2018-09-21 00:38:37.405297,2018-09-21 00:38:37.405365,Federal Reserve Bank of Chicago,federal-reserve-bank-of-chicago,1
20,1,2018-09-25 19:10:01.542945,2018-09-25 19:10:01.543044,Cook County Health and Hospitals,cook-county-health-and-hospitals,1
21,1,2018-10-05 16:21:25.930275,2018-10-05 16:21:25.930320,NorthShore,northshore,1
22,1,2018-10-21 04:07:16.672189,2018-10-21 04:07:16.673281,Facebook,facebook,1
23,1,2018-11-16 20:08:06.810462,2018-11-16 20:08:06.810539,United Airlines,united-airlines,1
24,1,2018-11-17 23:07:59.643559,2018-11-17 23:07:59.643600,Caterpillar,caterpillar,1
25,1,2018-11-26 03:24:05.193841,2018-11-26 03:24:05.193904,George Washington University Law,george-washington-university-law,1
26,1,2018-12-15 05:52:54.085887,2018-12-15 05:52:54.085950,CCA,cca,1
27,1,2019-01-21 01:17:55.228827,2019-01-21 01:17:55.228872,Self-employed,self-employed,1
28,1,2019-05-25 21:03:08.371498,2019-05-25 21:03:08.371599,Pete Buttigieg,pete-buttigieg,1
29,1,2019-07-14 04:46:23.368381,2019-07-14 04:46:23.368430,Boston Consulting Group,boston-consulting-group,1
30,1,2019-07-14 04:46:33.485065,2019-07-14 04:46:33.485095,Northeastern University,northeastern-university,1
31,1,2019-11-19 01:05:23.840083,2019-11-19 01:05:23.840121,Behavioral Sight,behavioral-sight,1
32,1,2019-11-19 01:09:06.917432,2019-11-19 01:09:06.917471,Grubhub,grubhub,1
33,1,2020-10-27 23:48:56.101396,2020-10-27 23:48:56.101432,Mathematica,mathematica,1
